Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Toyota,RAV4,2010,III рестайлинг (2010—2016),150556 км,13 записей в отчёте Автотеки,,4+,Не битый,2.0 4WD CVT (158 л.с.),2 л,Бензин,Вариатор,Полный,Comfort,Внедорожник 5-дверный,Коричневый,Левый,JTMB*************,Возможен,1 424 000
Toyota,Corolla,2012,X рестайлинг (2010—2013),172000 км,11 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (124 л.с.),1.6 л,Бензин,Механика,Передний,Elegance,Седан,Чёрный,Левый,JTNB*************,Не интересует,1 050 000
Toyota,Alphard,2012,II (2008—2015),178980 км,11 записей в отчёте Автотеки,,2,Не битый,3.5 AT (275 л.с.),3.5 л,Бензин,Автомат,Передний,,Минивэн,Чёрный,Левый,JTEG*************,,3 149 000
Toyota,Camry,2023,XV70 рестайлинг (2020—2023),60 км,Проверить в Автотеке,,1,Не битый,2.5 AT (200 л.с.),2.5 л,Бензин,Автомат,Передний,,Седан,Чёрный,Левый,LVGB*************,,3 550 000
Toyota,Camry,2020,XV70 (2017—2021),129375 км,7 записей в отчёте Автотеки,,1,Не битый,3.5 V6 AT (249 л.с.),3.5 л,Бензин,Автомат,Передний,Executive Safety,Седан,Белый,Левый,XW7B*************,Возможен,2 450 000
Toyota,Sienna,2010,III (2010—2014),143403 км,2 записи в отчёте Автотеки,,1,Не битый,2.7 AT (187 л.с.),2.7 л,Бензин,Автомат,Передний,Базовая,Минивэн,Чёрный,Левый,5TDK*************,,2 099 000
Toyota,Land Cruiser Prado,2008,120 рестайлинг (2007—2009),154000 км,20 записей в отчёте Автотеки,Оригинал,2,Не битый,4.0 AT (249 л.с.),4 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,JTEB*************,Не интересует,2 577 000
Toyota,Corolla,2023,XII (2018—2023),20 км,,Электронный,1,Не битый,1.6 CVT (122 л.с.),1.6 л,Бензин,Вариатор,Передний,Престиж,Седан,Белый,Левый,LFMA*************,,2 500 000
Toyota,Camry,2013,XV50 (2011—2014),163000 км,17 записей в отчёте Автотеки,,4+,Не битый,2.5 AT (181 л.с.),2.5 л,Бензин,Автомат,Передний,Prestige,Седан,Белый,Левый,XW7B*************,Возможен,1 399 999
Toyota,Camry,2015,XV50 рестайлинг (2014—2017),150000 км,7 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.5 AT (181 л.с.),2.5 л,Бензин,Автомат,Передний,Элеганс Плюс,Седан,Чёрный,Левый,XW7B*************,Не интересует,2 290 000
Toyota,C-HR,2018,I (2016—2019),79619 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,2.0 CVT (148 л.с.),2 л,Бензин,Вариатор,Передний,Hot,Внедорожник 5-дверный,Серый,Левый,JTNK*************,Не интересует,2 189 999
Toyota,RAV4,2013,IV (2012—2015),178000 км,11 записей в отчёте Автотеки,,3,Не битый,2.0 CVT (146 л.с.),2 л,Бензин,Вариатор,Передний,,Внедорожник 5-дверный,Белый,Левый,JTMD*************,,2 070 990
Toyota,Land Cruiser,2012,200 рестайлинг (2012—2015),277000 км,12 записей в отчёте Автотеки,Оригинал,2,Не битый,4.5 D AT (235 л.с.) 7 мест,4.5 л,Дизель,Автомат,Полный,Luxe,Внедорожник 5-дверный,Чёрный,Левый,JTMH*************,Не интересует,3 730 000
Toyota,Corolla,2023,XII (2018—2023),10 км,,Электронный,1,Не битый,1.2 CVT (116 л.с.),1.2 л,Бензин,Вариатор,Передний,,Седан,Белый,Левый,LFMA*************,Не интересует,2 499 000
Toyota,Avensis,2008,T250 рестайлинг (2006—2009),289000 км,15 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.8 MT (129 л.с.),1.8 л,Бензин,Механика,Передний,Сол,Седан,Серебряный,Левый,SB1B*************,Не интересует,789 000
Toyota,RAV4,2021,V (2018—2023),39200 км,3 записи в отчёте Автотеки,,1,Не битый,2.5 AT (205 л.с.),2.5 л,Бензин,Автомат,Передний,Базовая,Внедорожник 5-дверный,Чёрный,Левый,2T3H*************,,3 149 000
Toyota,Land Cruiser,2017,200 рестайлинг 2 (2015—2023),136000 км,8 записей в отчёте Автотеки,Оригинал,2,Не битый,4.5 D AT (249 л.с.) 5 мест,4.5 л,Дизель,Автомат,Полный,Luxe Safety,Внедорожник 5-дверный,Чёрный,Левый,JTMC*************,Возможен,6 490 000
Toyota,Camry,2014,XV50 рестайлинг (2014—2017),144000 км,4 записи в отчёте Автотеки,,1,Не битый,2.5 AT (181 л.с.),2.5 л,Бензин,Автомат,Передний,Комфорт,Седан,Белый,Левый,XW7B*************,,1 800 000
Toyota,Land Cruiser,2009,200 (2007—2012),299852 км,11 записей в отчёте Автотеки,Оригинал,3,Не битый,4.5 D AT (235 л.с.),4.5 л,Дизель,Автомат,Полный,Luxe 60Th,Внедорожник 5-дверный,Чёрный,Левый,JTMH*************,Возможен,2 750 000
Toyota,Camry,2022,XV70 рестайлинг (2020—2023),46601 км,4 записи в отчёте Автотеки,,4+,Не битый,3.5 V6 AT (249 л.с.),3.5 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,XW7B*************,,4 439 000
Toyota,Camry,2023,XV70 рестайлинг (2020—2023),50 км,,,1,Не битый,2.5 AT (209 л.с.),2.5 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,LVGB*************,Не интересует,3 950 000
Toyota,Camry,2019,XV70 (2017—2021),114000 км,35 записей в отчёте Автотеки,Оригинал,1,Не битый,2.5 AT (181 л.с.),2.5 л,Бензин,Автомат,Передний,Prestige Safety,Седан,Чёрный,Левый,XW7B*************,Не интересует,3 000 000
Toyota,Corolla,2013,XI (2012—2016),190000 км,3 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (122 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Белый,Левый,NMTB*************,Не интересует,1 400 000
Toyota,Yaris,2009,II рестайлинг (2009—2012),278000 км,,Оригинал,3,Не битый,1.0 MT (69 л.с.),1 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Белый,Левый,VNKK*************,Возможен,535 000
Toyota,Camry,2017,XV50 рестайлинг 2 (2017—2018),105307 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,2.5 AT (181 л.с.),2.5 л,Бензин,Автомат,Передний,Exclusive,Седан,Коричневый,Левый,XW7B*************,,2 399 000
Toyota,Corolla,2008,X (2006—2013),233847 км,18 записей в отчёте Автотеки,,4+,Не битый,1.6 AMT (124 л.с.),1.6 л,Бензин,Робот,Передний,Базовая,Седан,Чёрный,Левый,JTNB*************,Возможен,759 000
Toyota,Avensis,2002,T220 рестайлинг (2000—2003),196000 км,6 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (110 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Серебряный,Левый,SB15*************,Не интересует,360 000
Toyota,Camry,2020,XV70 (2017—2021),141124 км,,,1,Не битый,2.5 AT (181 л.с.),2.5 л,Бензин,Автомат,Передний,S-Edition,Седан,Чёрный,Левый,XW7B*************,Возможен,2 100 000
Toyota,Corolla,2012,X рестайлинг (2010—2013),182412 км,12 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 AT (124 л.с.),1.6 л,Бензин,Автомат,Передний,Prestige,Седан,Серебряный,Левый,JTNB*************,,1 099 000
Toyota,Camry,2023,XV70 рестайлинг (2020—2023),130 км,,Электронный,1,Не битый,2.5 AT (209 л.с.),2.5 л,Бензин,Автомат,Передний,Deluxe,Седан,Чёрный,Левый,LVGB*************,Возможен,3 500 000
Toyota,RAV4,2021,V (2018—2023),7000 км,4 записи в отчёте Автотеки,Оригинал,1,Не битый,2.0 4WD CVT (149 л.с.),2 л,Бензин,Вариатор,Полный,Style,Внедорожник 5-дверный,Коричневый,Левый,XW7R*************,Возможен,3 449 000
Toyota,Camry,2023,XV70 рестайлинг (2020—2023),1 км,Проверить в Автотеке,,1,Не битый,2.5 AT (200 л.с.),2.5 л,Бензин,Автомат,Передний,Стандарт Плюс,Седан,Белый,Левый,JTNB*************,,3 885 000
Toyota,Camry,2022,XV70 рестайлинг (2020—2023),68629 км,17 записей в отчёте Автотеки,,1,Не битый,2.5 AT (200 л.с.),2.5 л,Бензин,Автомат,Передний,Элеганс,Седан,Чёрный,Левый,XW7B*************,Возможен,3 250 000
Toyota,RAV4,2016,IV рестайлинг (2015—2019),139002 км,11 записей в отчёте Автотеки,,1,Не битый,2.0 CVT (146 л.с.),2 л,Бензин,Вариатор,Передний,,Внедорожник 5-дверный,Белый,Левый,JTMR*************,Возможен,2 049 000
Toyota,RAV4,2019,IV рестайлинг (2015—2019),85599 км,Проверить в Автотеке,,1,Не битый,2.0 CVT (146 л.с.),2 л,Бензин,Вариатор,Передний,Comfort Plus,Внедорожник 5-дверный,Синий,Левый,XW7W*************,,2 649 000
Toyota,Corolla,2010,X рестайлинг (2010—2013),244449 км,7 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 AT (124 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,JTNB*************,Возможен,1 085 000
Toyota,RAV4,2008,III (2005—2010),252500 км,9 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.0 4WD MT (152 л.с.),2 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Синий,Левый,JTMB*************,Не интересует,1 189 000
Toyota,Camry,2018,XV70 (2017—2021),36800 км,2 записи в отчёте Автотеки,,1,Не битый,2.5 AT (181 л.с.),2.5 л,Бензин,Автомат,Передний,Classic,Седан,Чёрный,Левый,XW7B*************,,3 153 860
Toyota,RAV4,2022,V (2018—2023),29362 км,8 записей в отчёте Автотеки,Электронный,2,Не битый,2.5 4WD AT (199 л.с.),2.5 л,Бензин,Автомат,Полный,Престиж,Внедорожник 5-дверный,Чёрный,Левый,XW7D*************,,4 850 000
Toyota,Hiace,2003,H100 (1989—2004),600000 км,8 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.4 MT (132 л.с.),2.4 л,Бензин,Механика,Задний,Базовая,Минивэн,Серый,Левый,JT14*************,,799 000
Toyota,Corolla,2007,X (2006—2013),135000 км,12 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 AMT (124 л.с.),1.6 л,Бензин,Робот,Передний,,Седан,Серый,Левый,JTNB*************,Не интересует,970 000
Toyota,Corolla,2022,XII (2018—2023),22 км,Проверить в Автотеке,Электронный,1,Не битый,1.2 CVT (116 л.с.),1.2 л,Бензин,Вариатор,Передний,,Седан,Чёрный,Левый,LFMA*************,Не интересует,2 100 000
