Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
ВАЗ (LADA),Largus,2018,I (2012—2023),152000 км,6 записей в отчёте Автотеки,,1,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Norma Climate,Универсал,Белый,Левый,XTAK*************,,930 000
ВАЗ (LADA),Kalina,2010,I (2004—2013),90000 км,8 записей в отчёте Автотеки,,1,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Универсал,Жёлтый,Левый,XTA1*************,,340 000
ВАЗ (LADA),2114 Samara,2007,I (2001—2014),237000 км,9 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Стандарт,Хетчбек 5-дверный,Серый,Левый,XTA2*************,,100 000
ВАЗ (LADA),Vesta,2020,I (2015—2023),45000 км,2 записи в отчёте Автотеки,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Classic,Седан,Серебряный,Левый,XTAG*************,,1 179 900
ВАЗ (LADA),2115 Samara,2001,I (1997—2013),200000 км,Проверить в Автотеке,Оригинал,4+,Не битый,1.5 MT (78 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Седан,Серебряный,Левый,XTA2*************,Не интересует,90 000
ВАЗ (LADA),Kalina,2011,I (2004—2013),151000 км,3 записи в отчёте Автотеки,,1,Не битый,1.6 MT (82 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Серый,Левый,XTA1*************,,315 000
ВАЗ (LADA),2106,2002,I (1976—2006),29928 км,Проверить в Автотеке,Оригинал,3,Не битый,1.3 MT (69 л.с.),1.3 л,Бензин,Механика,Задний,Базовая,Седан,Синий,Левый,XTK2*************,Не интересует,70 000
ВАЗ (LADA),4x4 (Нива),2017,I (1977—2019),85000 км,9 записей в отчёте Автотеки,,3,Не битый,1.7 4WD MT (83 л.с.),1.7 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Серебряный,Левый,XTA2*************,,619 000
ВАЗ (LADA),1111 Ока,2005,I (1987—2008),114000 км,2 записи в отчёте Автотеки,Оригинал,2,Не битый,0.7 MT (33 л.с.),0.7 л,Бензин,Механика,Передний,Базовая,Хетчбек 3-дверный,Бежевый,Левый,XTC1*************,Не интересует,60 000
ВАЗ (LADA),Priora,2010,I (2007—2013),191256 км,3 записи в отчёте Автотеки,,2,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Универсал,Серебряный,Левый,XTA2*************,Не интересует,260 000
ВАЗ (LADA),4x4 (Нива),1990,I (1977—2019),150000 км,Проверить в Автотеке,Оригинал,3,Не битый,1.6 MT (73 л.с.),1.6 л,Бензин,Механика,Полный,Базовая,Внедорожник 3-дверный,Чёрный,Левый,XTA2*************,Возможен,1 000 000
ВАЗ (LADA),2114 Samara,2007,I (2001—2014),280000 км,4 записи в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Люкс,Хетчбек 5-дверный,Чёрный,Левый,XTA2*************,Не интересует,95 000
ВАЗ (LADA),4x4 (Нива),2012,I (1977—2019),99000 км,3 записи в отчёте Автотеки,,2,Не битый,1.7 MT (79 л.с.),1.7 л,Бензин,Механика,Полный,Базовая,Внедорожник 3-дверный,Синий,Левый,XTA2*************,,419 990
