Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Mercedes-Benz,S-класс,2013,W221 рестайлинг (2009—2013),129369 км,10 записей в отчёте Автотеки,,3,Не битый,S 500 4.7 4MATIC 7G-Tronic (435 л.с.),4.7 л,Бензин,Автомат,Полный,,Седан,Чёрный,Левый,WDD2*************,,3 249 000
Mercedes-Benz,M-класс,2008,W164 рестайлинг (2008—2011),165000 км,18 записей в отчёте Автотеки,,3,Не битый,ML 500 5.5 4MATIC 7G-Tronic (388 л.с.),5.5 л,Бензин,Автомат,Полный,Особая серия,Внедорожник 5-дверный,Чёрный,Левый,WDC1*************,,1 679 000
Mercedes-Benz,GLE-класс Coupe,2021,C167 (2019—2023),23000 км,,,1,Не битый,GLE 400d 2.9 4MATIC 9G-Tronic (330 л.с.),2.9 л,Дизель,Автомат,Полный,GLE 400d,Внедорожник 5-дверный,Бежевый,Левый,W1NF*************,Не интересует,9 900 000
Mercedes-Benz,S-класс,2016,W222/C217/A217 (2013—2017),249080 км,27 записей в отчёте Автотеки,,3,Не битый,S 500 4.7 9G-Tronic (455 л.с.),4.7 л,Бензин,Автомат,Задний,Base,Седан,Синий,Левый,WDD2*************,,3 799 000
Mercedes-Benz,GLC-класс,2018,X253 (2015—2019),111000 км,,Электронный,1,Не битый,GLC 350e 2.0 4MATIC 7G-Tronic (211 л.с.),2 л,Гибрид,Автомат,Полный,Особая Серия,Внедорожник 5-дверный,Белый,Левый,WDC0*************,,4 250 000
Mercedes-Benz,CLA-класс AMG,2019,C118/X118 (2019—2023),22000 км,11 записей в отчёте Автотеки,Оригинал,2,Не битый,CLA 45 S 2.0 4MATIC 7G-DCT (421 л.с.),2 л,Бензин,Робот,Полный,Особая Серия,Седан,Серый,Левый,WDD1*************,Возможен,5 730 000
Mercedes-Benz,C-класс,2013,W204/S204/С204 рестайлинг (2011—2015),223000 км,26 записей в отчёте Автотеки,Дубликат,4+,Не битый,C 180 1.6 7G-Tronic (156 л.с.),1.6 л,Бензин,Автомат,Задний,,Седан,Серебряный,Левый,WDD2*************,Не интересует,1 400 000
Mercedes-Benz,E-класс,1993,W124/S124/C124/A124 (1992—1997),100000 км,Проверить в Автотеке,Дубликат,3,Не битый,E 280 2.8 AT (197 л.с.),2.8 л,Бензин,Автомат,Задний,Базовая,Седан,Синий,Левый,WDB2*************,Не интересует,329 000
Mercedes-Benz,S-класс,2010,W221 рестайлинг (2009—2013),175000 км,17 записей в отчёте Автотеки,,4+,Не битый,S 500 5.5 4MATIC 7G-Tronic (388 л.с.),5.5 л,Бензин,Автомат,Полный,Base,Седан,Чёрный,Левый,WDD2*************,,1 824 900
Mercedes-Benz,Sprinter,2019,W907/910 (2018—2023),8010 км,Проверить в Автотеке,,1,Не битый,211 CDI 2.2 FWD MT (114 л.с.),2.2 л,Дизель,Механика,Передний,Базовая,Фургон,Белый,Левый,WDB9*************,,5 500 000
Mercedes-Benz,Sprinter,2019,W907/910 (2018—2023),147098 км,3 записи в отчёте Автотеки,,1,Не битый,314 CDI 2.2 MT (143 л.с.),2.2 л,Дизель,Механика,Задний,Базовая,Фургон,Белый,Левый,WDB9*************,,4 350 000
Mercedes-Benz,GLA-класс,2014,X156 (2013—2017),99950 км,13 записей в отчёте Автотеки,Оригинал,4+,Не битый,GLA 200 1.6 7G-DCT (156 л.с.),1.6 л,Бензин,Робот,Передний,Особая серия,Внедорожник 5-дверный,Коричневый,Левый,WDC1*************,Не интересует,1 749 000
Mercedes-Benz,GLC-класс,2018,X253 (2015—2019),79415 км,6 записей в отчёте Автотеки,,1,Не битый,GLC 250 2.0 4MATIC 9G-Tronic (211 л.с.),2 л,Бензин,Автомат,Полный,Особая Серия,Внедорожник 5-дверный,Синий,Левый,WDC2*************,,3 600 000
Mercedes-Benz,Sprinter,2019,W907/910 (2018—2023),237268 км,3 записи в отчёте Автотеки,,1,Не битый,214 CDI 2.2 MT (143 л.с.),2.2 л,Дизель,Механика,Задний,Базовая,Фургон,Белый,Левый,WDB9*************,,4 289 000
Mercedes-Benz,S-класс,2021,W223 (2020—2023),61150 км,14 записей в отчёте Автотеки,Электронный,2,Не битый,S350d L 2.9 4MATIC 9G-Tronic (249 л.с.),2.9 л,Дизель,Автомат,Полный,Premium,Седан,Чёрный,Левый,W1K2*************,Не интересует,13 930 000
Mercedes-Benz,CLS-класс,2006,C219 (2004—2008),235000 км,2 записи в отчёте Автотеки,,1,Не битый,CLS 500 5.5 AT (388 л.с.),5.5 л,Бензин,Автомат,Задний,Базовая,Седан,Бордовый,Левый,WDD2*************,Не интересует,1 499 000
Mercedes-Benz,E-класс,2013,W212/S212/C207/A207 рестайлинг (2013—2016),112321 км,17 записей в отчёте Автотеки,,3,Не битый,E 220d 2.1 9G-Tronic (170 л.с.),2.1 л,Дизель,Автомат,Задний,,Седан,Чёрный,Левый,WDD2*************,,1 799 000
Mercedes-Benz,GLC-класс,2017,X253 (2015—2019),143000 км,10 записей в отчёте Автотеки,,2,Не битый,GLC 220d 2.1 4MATIC 9G-Tronic (170 л.с.),2.1 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,WDC2*************,Не интересует,3 300 000
Mercedes-Benz,GLK-класс,2013,X204 рестайлинг (2012—2015),140000 км,11 записей в отчёте Автотеки,,2,Не битый,GLK 220d 2.1 4MATIC 7G-Tronic (170 л.с.),2.1 л,Дизель,Автомат,Полный,Особая серия,Внедорожник 5-дверный,Белый,Левый,WDC2*************,Не интересует,2 350 000
Mercedes-Benz,CLA-класс,2019,C118 (2019—2023),69861 км,8 записей в отчёте Автотеки,,3,Не битый,CLA 200 1.3 7G-DCT (150 л.с.),1.3 л,Бензин,Робот,Передний,Sport,Седан,Белый,Левый,WDD1*************,,3 345 600
Mercedes-Benz,C-класс,2011,W204/S204/С204 рестайлинг (2011—2015),157500 км,10 записей в отчёте Автотеки,,4+,Не битый,C 180 1.8 7G-Tronic (156 л.с.),1.8 л,Бензин,Автомат,Задний,,Седан,Красный,Левый,WDD2*************,Возможен,1 145 000
Mercedes-Benz,Sprinter Classic,2017,I (1995—2023),198639 км,8 записей в отчёте Автотеки,,2,Не битый,311 CDI 2.1 MT (109 л.с.),2.1 л,Дизель,Механика,Задний,Базовая,Фургон,Белый,Левый,XDN9*************,,1 970 000
Mercedes-Benz,C-класс,2020,W205/S205/C205/A205 рестайлинг (2018—2021),58950 км,4 записи в отчёте Автотеки,Оригинал,1,Не битый,C 200 1.5 4MATIC 9G-Tronic (184 л.с.),1.5 л,Бензин,Автомат,Полный,Sport,Седан,Серый,Левый,WDD2*************,Не интересует,3 799 000
Mercedes-Benz,E-класс,2017,W213/S213/C238/A238 (2016—2021),138221 км,21 запись в отчёте Автотеки,,4+,Не битый,E 200 2.0 4MATIC 9G-Tronic (184 л.с.),2 л,Бензин,Автомат,Полный,Sport Plus,Седан,Чёрный,Левый,WDD2*************,,3 300 000
Mercedes-Benz,C-класс,2009,W204/S204 (2006—2011),282532 км,9 записей в отчёте Автотеки,Дубликат,4+,Не битый,C 180 1.6 7G-Tronic (156 л.с.),1.6 л,Бензин,Автомат,Задний,,Седан,Чёрный,Левый,WDD2*************,,675 000
Mercedes-Benz,M-класс AMG,2013,W166 (2011—2015),156196 км,9 записей в отчёте Автотеки,,3,Не битый,ML 63 5.5 4MATIC 7G-Tronic (525 л.с.),5.5 л,Бензин,Автомат,Полный,Особая серия,Внедорожник 5-дверный,Синий,Левый,WDC1*************,Возможен,3 075 000
