Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
ВАЗ (LADA),2115 Samara,2008,I (1997—2013),190000 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Серебряный,Левый,XTA2*************,Не интересует,165 000
ВАЗ (LADA),Vesta,2019,I (2015—2023),100000 км,Проверить в Автотеке,Оригинал,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Luxe,Седан,Белый,Левый,XTAG*************,Возможен,910 000
ВАЗ (LADA),2114 Samara,2012,I (2001—2014),168000 км,14 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Люкс,Хетчбек 5-дверный,Чёрный,Левый,XTA2*************,Не интересует,210 000
ВАЗ (LADA),Vesta,2020,I (2015—2023),57624 км,12 записей в отчёте Автотеки,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Luxe EnjoY Pro,Седан,Белый,Левый,XTAG*************,,839 582
ВАЗ (LADA),2114 Samara,2008,I (2001—2014),150000 км,7 записей в отчёте Автотеки,Дубликат,1,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Чёрный,Левый,XTA2*************,Не интересует,145 000
ВАЗ (LADA),XRAY Cross,2019,I (2018—2023),33421 км,3 записи в отчёте Автотеки,,1,Не битый,1.6 CVT (113 л.с.),1.6 л,Бензин,Вариатор,Передний,Luxe Prestige Connect,Хетчбек 5-дверный,Оранжевый,Левый,XTAG*************,,1 529 000
ВАЗ (LADA),Granta,2018,I рестайлинг (2018—2023),65000 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Седан,Чёрный,Левый,XTA2*************,Не интересует,650 000
ВАЗ (LADA),2114 Samara,2008,I (2001—2014),149000 км,8 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Чёрный,Левый,XTA2*************,Не интересует,89 000
ВАЗ (LADA),Granta,2021,I рестайлинг (2018—2023),82000 км,5 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Белый,Левый,XTA2*************,Не интересует,599 000
ВАЗ (LADA),2114 Samara,2012,I (2001—2014),156500 км,14 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Серый,Левый,XTA2*************,Возможен,235 000
