Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
ВАЗ (LADA),2107,2007,I (1982—2012),88000 км,11 записей в отчёте Автотеки,Дубликат,3,Не битый,1.6 MT (74 л.с.),1.6 л,Бензин,Механика,Задний,Стандарт,Седан,Бордовый,Левый,XTA2*************,Не интересует,135 000
ВАЗ (LADA),Vesta,2019,I (2015—2023),93000 км,5 записей в отчёте Автотеки,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Luxe,Универсал,Серый,Левый,XTAG*************,,1 189 000
ВАЗ (LADA),Vesta,2021,I (2015—2023),34000 км,5 записей в отчёте Автотеки,,2,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Classic,Седан,Красный,Левый,XTAG*************,,1 260 000
ВАЗ (LADA),2121 (4x4) Urban,2023,I рестайлинг 2 (2019—2023),14000 км,3 записи в отчёте Автотеки,Электронный,1,Не битый,1.7 MT (83 л.с.),1.7 л,Бензин,Механика,Полный,,Внедорожник 3-дверный,Зелёный,Левый,XTA2*************,Не интересует,950 000
ВАЗ (LADA),Kalina,2012,I (2004—2013),120000 км,7 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Универсал,Чёрный,Левый,XTA1*************,,325 000
ВАЗ (LADA),Largus Cross,2019,I (2013—2021),123500 км,5 записей в отчёте Автотеки,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,,Универсал,Коричневый,Левый,XTAK*************,,1 049 000
ВАЗ (LADA),Granta,2015,I (2011—2018),115000 км,3 записи в отчёте Автотеки,,1,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Лифтбек,Синий,Левый,XTA2*************,,548 800
ВАЗ (LADA),Granta,2013,I (2011—2018),148000 км,11 записей в отчёте Автотеки,,1,Не битый,1.6 AT4 (98 л.с.),1.6 л,Бензин,Автомат,Передний,Comfort,Седан,Синий,Левый,XTA2*************,,650 000
ВАЗ (LADA),Largus,2023,I рестайлинг (2021—2023),845 км,,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Comfort 5 мест,Универсал,Белый,Левый,XTAK*************,,2 014 000
ВАЗ (LADA),Kalina,2010,I (2004—2013),90000 км,8 записей в отчёте Автотеки,,1,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Универсал,Жёлтый,Левый,XTA1*************,,340 000
