Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Mitsubishi,Lancer,2010,X (2007—2010),234000 км,7 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.5 AT (109 л.с.),1.5 л,Бензин,Автомат,Передний,Invite,Седан,Серебряный,Левый,JMBS*************,Не интересует,720 000
Mitsubishi,ASX,2012,I (2010—2013),95000 км,34 записи в отчёте Автотеки,,3,Не битый,1.6 MT (117 л.с.),1.6 л,Бензин,Механика,Передний,Invite,Внедорожник 5-дверный,Серый,Левый,JMBX*************,Не интересует,1 358 000
Mitsubishi,Outlander,2014,III рестайлинг (2014—2015),186000 км,13 записей в отчёте Автотеки,Оригинал,1,Не битый,2.0 4WD CVT (146 л.с.),2 л,Бензин,Вариатор,Полный,,Внедорожник 5-дверный,Белый,Левый,Z8TX*************,,1 600 000
Mitsubishi,ASX,2014,I рестайлинг (2012—2016),178230 км,25 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (117 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Внедорожник 5-дверный,Белый,Левый,JMBX*************,Возможен,1 273 700
Mitsubishi,ASX,2014,I рестайлинг (2012—2016),259820 км,23 записи в отчёте Автотеки,Оригинал,2,Не битый,1.8 CVT (140 л.с.),1.8 л,Бензин,Вариатор,Передний,Intense,Внедорожник 5-дверный,Чёрный,Левый,JMBX*************,,1 150 000
Mitsubishi,Lancer,2012,X рестайлинг (2011—2015),148000 км,12 записей в отчёте Автотеки,,3,Не битый,1.6 MT (117 л.с.),1.6 л,Бензин,Механика,Передний,Invite,Седан,Серебряный,Левый,JMBS*************,,819 000
Mitsubishi,Lancer,2008,IX рестайлинг (2005—2010),236773 км,12 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Универсал,Чёрный,Левый,JMBL*************,,555 000
Mitsubishi,Pajero,2019,IV рестайлинг 2 (2014—2023),53 км,4 записи в отчёте Автотеки,Электронный,1,Не битый,3.8 4WD AT (243 л.с.),3.8 л,Бензин,Автомат,Полный,GLS,Внедорожник 5-дверный,Белый,Левый,JE4N*************,Возможен,4 650 000
Mitsubishi,Outlander,2022,III рестайлинг 3 (2018—2023),21 км,,Электронный,1,Не битый,2.4 4WD CVT (167 л.с.),2.4 л,Бензин,Вариатор,Полный,Ultimate,Внедорожник 5-дверный,Белый,Левый,LL66*************,,3 449 000
Mitsubishi,Lancer,2008,X (2007—2010),242000 км,5 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.8 MT (143 л.с.),1.8 л,Бензин,Механика,Передний,Базовая,Седан,Красный,Левый,JMBS*************,Возможен,760 000
Mitsubishi,Outlander,2022,III рестайлинг 3 (2018—2023),24 км,Проверить в Автотеке,,1,Не битый,2.0 CVT (146 л.с.),2 л,Бензин,Вариатор,Передний,,Внедорожник 5-дверный,Белый,Левый,LL66*************,,2 999 000
Mitsubishi,ASX,2022,I рестайлинг 3 (2019—2023),1 км,,,1,Не битый,2.0 CVT (150 л.с.),2 л,Бензин,Вариатор,Передний,Базовая,Внедорожник 5-дверный,Чёрный,Левый,JMYX*************,,3 399 900
Mitsubishi,Pajero Sport,2012,II (2008—2013),182342 км,9 записей в отчёте Автотеки,,3,Не битый,2.5DI-D MT (178 л.с.),2.5 л,Дизель,Механика,Полный,Intense,Внедорожник 5-дверный,Чёрный,Левый,MMCG*************,,1 670 000
Mitsubishi,Outlander,2021,III рестайлинг 3 (2018—2023),6233 км,4 записи в отчёте Автотеки,,1,Не битый,2.0 CVT (146 л.с.),2 л,Бензин,Вариатор,Передний,,Внедорожник 5-дверный,Белый,Левый,X2MX*************,,2 450 000
Mitsubishi,Lancer,2011,X рестайлинг (2011—2015),195000 км,30 записей в отчёте Автотеки,Оригинал,3,Не битый,1.5 AT (109 л.с.),1.5 л,Бензин,Автомат,Передний,Базовая,Седан,Красный,Левый,JMBS*************,,925 000
Mitsubishi,Eclipse Cross,2021,I рестайлинг (2020—2023),5555 км,4 записи в отчёте Автотеки,,1,Не битый,1.5 CVT (150 л.с.),1.5 л,Бензин,Вариатор,Передний,Базовая,Внедорожник 5-дверный,Белый,Левый,JMBX*************,,3 811 000
