Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
BMW,X3,2020,G01 (2017—2021),79200 км,Проверить в Автотеке,Электронный,1,Не битый,25d 2.0 xDrive Steptronic (231 л.с.),2 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Синий,Левый,WBAT*************,Не интересует,4 399 000
BMW,X3,2019,G01 (2017—2021),60297 км,3 записи в отчёте Автотеки,,2,Не битый,M40d 3.0 xDrive Steptronic (326 л.с.),3 л,Дизель,Автомат,Полный,M Special,Внедорожник 5-дверный,Чёрный,Левый,WBAT*************,Возможен,5 720 000
BMW,X1,2012,E84 рестайлинг (2012—2015),172738 км,18 записей в отчёте Автотеки,Оригинал,4+,Не битый,20i 2.0 xDrive AT (184 л.с.),2 л,Бензин,Автомат,Полный,xLine,Внедорожник 5-дверный,Коричневый,Левый,X4XV*************,Возможен,1 420 000
BMW,5 серия,2019,G30/G31 (2016—2020),97544 км,8 записей в отчёте Автотеки,,2,Не битый,520d 2.0 xDrive Steptronic (190 л.с.),2 л,Дизель,Автомат,Полный,,Седан,Чёрный,Левый,X4XJ*************,,3 099 000
BMW,5 серия,2015,F10/F11 рестайлинг (2013—2017),162708 км,23 записи в отчёте Автотеки,,3,Не битый,520i 2.0 AT (184 л.с.),2 л,Бензин,Автомат,Задний,,Седан,Синий,Левый,WBA5*************,Возможен,1 830 000
BMW,X5,2015,F15 (2013—2018),215000 км,21 запись в отчёте Автотеки,Оригинал,2,Не битый,25d 3.0 xDrive Steptronic (218 л.с.),3 л,Дизель,Автомат,Полный,Business,Внедорожник 5-дверный,Чёрный,Левый,X4XK*************,Не интересует,3 250 000
BMW,5 серия,2016,F10/F11 рестайлинг (2013—2017),168000 км,29 записей в отчёте Автотеки,Оригинал,2,Не битый,520d 2.0 AT (190 л.с.),2 л,Дизель,Автомат,Задний,,Седан,Чёрный,Левый,WBA5*************,,2 650 000
BMW,5 серия,1997,E39 (1995—2000),562690 км,6 записей в отчёте Автотеки,,4+,Не битый,520i 2.0 MT (150 л.с.),2 л,Бензин,Механика,Задний,Базовая,Седан,Синий,Левый,WBAD*************,Не интересует,350 005
BMW,X3,2020,G01 (2017—2021),92833 км,13 записей в отчёте Автотеки,,2,Не битый,30d 3.0 xDrive Steptronic (249 л.с.),3 л,Дизель,Автомат,Полный,M Sport,Внедорожник 5-дверный,Синий,Левый,X4XK*************,Возможен,5 150 000
BMW,7 серия,2023,G70 (2022—2023),10 км,,Электронный,1,Не битый,760i 4.4 xDrive Steptronic (544 л.с.),4.4 л,Бензин,Автомат,Полный,Base,Седан,Чёрный,Левый,WBA5*************,Не интересует,24 850 000
BMW,X6,2010,E71 (2007—2012),182800 км,17 записей в отчёте Автотеки,Дубликат,4+,Не битый,35i 3.0 AT (306 л.с.),3 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Белый,Левый,X4XF*************,Не интересует,1 890 000
BMW,M3,2023,G80 (2020—2023),5 км,,Электронный,1,Не битый,3.0 xDrive AT (510 л.с.),3 л,Бензин,Автомат,Полный,M Special,Седан,Серый,Левый,WBS6*************,Не интересует,19 900 000
BMW,i3,2018,I01 рестайлинг (2017—2023),60609 км,2 записи в отчёте Автотеки,,1,Не битый,0.6 eDrive AT (170 л.с.),0.6 л,Гибрид,Автомат,Задний,Base,Хетчбек 5-дверный,Белый,Левый,WBY7*************,,2 674 000
BMW,6 серия GT,2018,G32 (2017—2020),90315 км,8 записей в отчёте Автотеки,,1,Не битый,630d 3.0 xDrive Steptronic (249 л.с.),3 л,Дизель,Автомат,Полный,Luxury Line Plus,Лифтбек,Чёрный,Левый,WBAJ*************,Возможен,4 490 000
BMW,X5,2015,F15 (2013—2018),150000 км,13 записей в отчёте Автотеки,Оригинал,3,Не битый,25d 3.0 xDrive Steptronic (218 л.с.),3 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,X4XK*************,Не интересует,3 200 000
BMW,3 серия,2016,F30/F31 рестайлинг (2015—2020),67000 км,13 записей в отчёте Автотеки,,2,Не битый,320i 2.0 xDrive Steptronic (184 л.с.),2 л,Бензин,Автомат,Полный,Base,Седан,Чёрный,Левый,X4X8*************,,3 040 000
BMW,X5,2012,E70 рестайлинг (2010—2013),150608 км,16 записей в отчёте Автотеки,,3,Не битый,35i 3.0 AT (306 л.с.),3 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,X4XZ*************,,1 649 000
BMW,X3,2016,F25 рестайлинг (2014—2018),168000 км,14 записей в отчёте Автотеки,Оригинал,2,Не битый,20d 2.0 xDrive AT (190 л.с.),2 л,Дизель,Автомат,Полный,Xline,Внедорожник 5-дверный,Чёрный,Левый,X4XW*************,Возможен,2 635 000
BMW,X3,2019,G01 (2017—2021),132791 км,3 записи в отчёте Автотеки,,1,Не битый,20d 2.0 xDrive Steptronic (190 л.с.),2 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,WBAT*************,Возможен,3 796 000
BMW,5 серия,2020,G30/G31 рестайлинг (2020—2023),66000 км,7 записей в отчёте Автотеки,Оригинал,2,Не битый,520d 2.0 xDrive Steptronic (190 л.с.),2 л,Дизель,Автомат,Полный,M Sport Pure,Седан,Серый,Левый,X4X3*************,Не интересует,5 190 000
BMW,3 серия,2017,F30/F31 рестайлинг (2015—2020),186000 км,4 записи в отчёте Автотеки,,1,Не битый,318d 2.0 Steptronic (150 л.с.),2 л,Дизель,Автомат,Задний,Base,Универсал,Серый,Левый,WBA8*************,,2 190 000
BMW,X5,2004,E53 рестайлинг (2003—2007),312000 км,11 записей в отчёте Автотеки,Дубликат,4+,Не битый,3.0i 3.0 AT (231 л.с.),3 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Серебряный,Левый,5UXF*************,Не интересует,1 150 000
