Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Chevrolet,Cruze,2012,I рестайлинг (2012—2015),149000 км,16 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (109 л.с.),1.6 л,Бензин,Механика,Передний,LS,Седан,Чёрный,Левый,XUFJ*************,Возможен,797 000
Chevrolet,Lacetti,2011,I (2004—2013),162000 км,9 записей в отчёте Автотеки,,4+,Не битый,1.4 MT (94 л.с.),1.4 л,Бензин,Механика,Передний,SX,Седан,Чёрный,Левый,XUUN*************,Возможен,459 000
Chevrolet,Aveo,2013,II (2011—2020),120000 км,7 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Серебряный,Левый,XUFT*************,Не интересует,800 000
Chevrolet,Niva,2015,I рестайлинг (2009—2023),118000 км,4 записи в отчёте Автотеки,Оригинал,2,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,GL,Внедорожник 5-дверный,Коричневый,Левый,X9L2*************,,885 000
Chevrolet,Aveo,2014,II (2011—2020),139704 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 AT (115 л.с.),1.6 л,Бензин,Автомат,Передний,LTZ,Седан,Чёрный,Левый,XUFT*************,Не интересует,870 000
Chevrolet,Cobalt,2013,II (2011—2016),135000 км,2 записи в отчёте Автотеки,,2,Не битый,1.5 MT (105 л.с.),1.5 л,Бензин,Механика,Передний,LT,Седан,Серый,Левый,XWBJ*************,,595 990
Chevrolet,Epica,2011,I рестайлинг (2008—2012),261100 км,11 записей в отчёте Автотеки,,4+,Не битый,2.0 AT (143 л.с.),2 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,XUUL*************,Возможен,631 000
Chevrolet,Lacetti,2008,I (2004—2013),309000 км,,Дубликат,4+,Не битый,1.4 MT (94 л.с.),1.4 л,Бензин,Механика,Передний,,Седан,Серебряный,Левый,LL1N*************,Не интересует,399 000
Chevrolet,Lacetti,2008,I (2004—2013),135000 км,5 записей в отчёте Автотеки,,2,Не битый,1.4 MT (94 л.с.),1.4 л,Бензин,Механика,Передний,Elite,Хетчбек 5-дверный,Чёрный,Левый,XUUN*************,,595 962
Chevrolet,Tracker,2022,IV (2019—2023),507 км,,,1,Не битый,1.3 CVT (165 л.с.),1.3 л,Бензин,Вариатор,Передний,Base,Внедорожник 5-дверный,Серый,Левый,LSGE*************,,2 499 000
Chevrolet,Niva,2018,I рестайлинг (2009—2023),78002 км,4 записи в отчёте Автотеки,,2,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Чёрный,Левый,X9L2*************,,795 000
Chevrolet,Niva,2013,I рестайлинг (2009—2023),143000 км,3 записи в отчёте Автотеки,Оригинал,1,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,GLS,Внедорожник 5-дверный,Серый,Левый,X9L2*************,,599 000
Chevrolet,Niva,2017,I рестайлинг (2009—2023),99000 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,LC,Внедорожник 5-дверный,Белый,Левый,X9L2*************,Возможен,720 000
Chevrolet,Cruze,2013,I рестайлинг (2012—2015),163200 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,1.8 AT (141 л.с.),1.8 л,Бензин,Автомат,Передний,LT,Хетчбек 5-дверный,Красный,Левый,XUFJ*************,Возможен,999 000
