Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
ВАЗ (LADA),Kalina,2009,I (2004—2013),196000 км,Проверить в Автотеке,Оригинал,3,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Норма,Хетчбек 5-дверный,Серый,Левый,XTA1*************,Не интересует,375 000
ВАЗ (LADA),2105,2005,I (1980—2011),97600 км,3 записи в отчёте Автотеки,Оригинал,2,Не битый,1.5 MT (71 л.с.),1.5 л,Бензин,Механика,Задний,Базовая,Седан,Белый,Левый,XTA2*************,Не интересует,55 000
ВАЗ (LADA),Vesta Cross,2019,I (2017—2023),88000 км,4 записи в отчёте Автотеки,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Luxe,Универсал,Белый,Левый,XTAG*************,,1 318 000
ВАЗ (LADA),Granta,2015,I (2011—2018),196000 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Comfort,Седан,Серебряный,Левый,XTA2*************,,450 000
ВАЗ (LADA),2110,2001,I (1995—2014),185811 км,Проверить в Автотеке,Оригинал,3,Не битый,1.5 MT (78 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Седан,Серебряный,Левый,XTA2*************,Не интересует,120 000
ВАЗ (LADA),4x4 (Нива),1995,I (1977—2019),153200 км,5 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (75 л.с.),1.6 л,Бензин,Механика,Полный,Базовая,Внедорожник 3-дверный,Красный,Левый,XTA2*************,Не интересует,120 000
ВАЗ (LADA),4x4 (Нива),2018,I (1977—2019),51000 км,10 записей в отчёте Автотеки,,4+,Не битый,1.7 MT (83 л.с.),1.7 л,Бензин,Механика,Полный,,Внедорожник 3-дверный,Синий,Левый,XTA2*************,,626 990
ВАЗ (LADA),4x4 (Нива),2010,I (1977—2019),123000 км,7 записей в отчёте Автотеки,,3,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,,Внедорожник 3-дверный,Белый,Левый,XTA2*************,Не интересует,440 000
ВАЗ (LADA),Granta,2020,I рестайлинг (2018—2023),82500 км,3 записи в отчёте Автотеки,,1,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Comfort,Хетчбек 5-дверный,Синий,Левый,XTA2*************,,849 990
ВАЗ (LADA),Granta,2021,I рестайлинг (2018—2023),20831 км,11 записей в отчёте Автотеки,,2,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Седан,Синий,Левый,XTA2*************,,789 900
ВАЗ (LADA),2109,1998,I (1987—2011),154000 км,3 записи в отчёте Автотеки,Дубликат,4+,Не битый,1.5 MT (72 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Зелёный,Левый,XTA2*************,Не интересует,95 000
ВАЗ (LADA),Priora,2010,I (2007—2013),203000 км,8 записей в отчёте Автотеки,,2,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Норма,Универсал,Чёрный,Левый,XTA2*************,,317 000
ВАЗ (LADA),XRAY,2018,I (2015—2023),34190 км,18 записей в отчёте Автотеки,,3,Не битый,1.8 AMT (122 л.с.),1.8 л,Бензин,Робот,Передний,,Хетчбек 5-дверный,Белый,Левый,XTAG*************,Возможен,1 299 000
