Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Mazda,CX-5,2016,I рестайлинг (2015—2017),207000 км,3 записи в отчёте Автотеки,Оригинал,1,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Supreme,Внедорожник 5-дверный,Белый,Левый,RUMK*************,Не интересует,2 160 000
Mazda,6,2006,GG рестайлинг (2005—2008),280000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 MT (147 л.с.),2 л,Бензин,Механика,Передний,Базовая,Седан,Чёрный,Левый,JMZG*************,Не интересует,777 777
Mazda,6,2019,GJ рестайлинг 2 (2018—2023),54500 км,12 записей в отчёте Автотеки,Оригинал,1,Не битый,2.5 AT (194 л.с.),2.5 л,Бензин,Автомат,Передний,Supreme Plus,Седан,Серый,Левый,RUMG*************,Не интересует,2 590 000
Mazda,3,2012,BL рестайлинг (2011—2013),226990 км,20 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Серебряный,Левый,JMZB*************,Возможен,990 000
Mazda,6,2011,GH рестайлинг (2009—2013),220000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 AT (147 л.с.),2 л,Бензин,Автомат,Передний,,Седан,Коричневый,Левый,JMZG*************,,1 200 000
Mazda,CX-5,2016,I рестайлинг (2015—2017),174189 км,10 записей в отчёте Автотеки,Оригинал,1,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,Active,Внедорожник 5-дверный,Серый,Левый,RUMK*************,,2 149 000
Mazda,6,2008,GH (2007—2009),300000 км,21 запись в отчёте Автотеки,Дубликат,3,Не битый,2.5 MT (170 л.с.),2.5 л,Бензин,Механика,Передний,Sport,Седан,Чёрный,Левый,JMZG*************,Не интересует,820 000
Mazda,CX-5,2014,I (2011—2015),145176 км,5 записей в отчёте Автотеки,,1,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Sport,Внедорожник 5-дверный,Чёрный,Левый,RUMK*************,,2 100 000
Mazda,3,2011,BL рестайлинг (2011—2013),149200 км,10 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,,Хетчбек 5-дверный,Синий,Левый,JMZB*************,Не интересует,1 070 000
Mazda,CX-5,2022,II (2017—2022),,,Электронный,,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,Active,Внедорожник 5-дверный,Красный,Левый,RUMK*************,Возможен,от 3 901 000
Mazda,CX-7,2008,I (2006—2009),227722 км,18 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.3 4WD AT (238 л.с.),2.3 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,JMZE*************,,799 000
Mazda,6,2016,GJ рестайлинг (2015—2018),138088 км,21 запись в отчёте Автотеки,,3,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,,Седан,Красный,Левый,RUMG*************,Возможен,2 197 000
Mazda,3,2007,BK рестайлинг (2006—2009),278000 км,16 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Красный,Левый,JMZB*************,,587 000
Mazda,6,2018,GJ рестайлинг (2015—2018),74100 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,RUMG*************,Не интересует,2 335 000
Mazda,3,2008,BK рестайлинг (2006—2009),122999 км,16 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Красный,Левый,JMZB*************,,635 000
Mazda,3,2013,BL рестайлинг (2011—2013),230000 км,5 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Touring,Седан,Белый,Левый,JMZB*************,Не интересует,1 300 000
Mazda,CX-5,2016,I рестайлинг (2015—2017),99351 км,10 записей в отчёте Автотеки,,1,Не битый,2.5 4WD AT (192 л.с.),2.5 л,Бензин,Автомат,Полный,Active+,Внедорожник 5-дверный,Коричневый,Левый,RUMK*************,,2 518 000
Mazda,3,2008,BK рестайлинг (2006—2009),127000 км,14 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Touring,Хетчбек 5-дверный,Чёрный,Левый,JMZB*************,Возможен,479 000
Mazda,6,2010,GH рестайлинг (2009—2013),112000 км,5 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 AT (147 л.с.),2 л,Бензин,Автомат,Передний,,Лифтбек,Белый,Левый,JMZG*************,Не интересует,1 148 000
Mazda,626,2000,GF (1997—2002),325000 км,3 записи в отчёте Автотеки,Оригинал,4+,Не битый,2.0 MT (136 л.с.),2 л,Бензин,Механика,Передний,Базовая,Лифтбек,Серебряный,Левый,JMZG*************,Не интересует,250 000
Mazda,3,2013,BL рестайлинг (2011—2013),217542 км,12 записей в отчёте Автотеки,,2,Не битый,1.6 AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Чёрный,Левый,JMZB*************,Возможен,939 000
Mazda,6,2019,GJ рестайлинг 2 (2018—2023),61588 км,4 записи в отчёте Автотеки,,1,Не битый,2.5 AT (194 л.с.),2.5 л,Бензин,Автомат,Передний,Supreme,Седан,Серый,Левый,RUMG*************,,3 100 000
Mazda,6,2017,GJ рестайлинг (2015—2018),111000 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,,Седан,Серый,Левый,RUMG*************,Не интересует,2 550 000
Mazda,Tribute,2010,II (2007—2011),231481 км,7 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.5 AT (171 л.с.),,Бензин,Автомат,Передний,Базовая,Внедорожник 5-дверный,Чёрный,Левый,4F2C*************,,915 000
Mazda,6,2017,GJ рестайлинг (2015—2018),54000 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,,Седан,Серый,Левый,RUMG*************,Не интересует,2 500 000
Mazda,6,2015,GJ рестайлинг (2015—2018),99000 км,6 записей в отчёте Автотеки,Оригинал,3,Не битый,2.5 AT (192 л.с.),2.5 л,Бензин,Автомат,Передний,Supreme Plus,Седан,Белый,Левый,RUMG*************,,2 100 000
Mazda,CX-5,2016,I рестайлинг (2015—2017),116735 км,4 записи в отчёте Автотеки,,1,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,Active,Внедорожник 5-дверный,Серый,Левый,RUMK*************,Возможен,2 286 400
Mazda,3,2008,BK рестайлинг (2006—2009),208158 км,15 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,Touring,Седан,Синий,Левый,JMZB*************,Возможен,665 000
Mazda,6,2021,GJ рестайлинг 2 (2018—2023),28950 км,4 записи в отчёте Автотеки,Электронный,1,Не битый,2.5 AT (231 л.с.),2.5 л,Бензин,Автомат,Передний,Executive Plus,Седан,Серый,Левый,JM1G*************,Не интересует,2 850 000
Mazda,CX-5,2019,II (2017—2022),48518 км,11 записей в отчёте Автотеки,,2,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,Active,Внедорожник 5-дверный,Синий,Левый,RUMK*************,,3 400 000
Mazda,3,2012,BL рестайлинг (2011—2013),189450 км,26 записей в отчёте Автотеки,,4+,Не битый,1.6 AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Touring Plus,Хетчбек 5-дверный,Коричневый,Левый,JMZB*************,,1 130 000
