Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Lexus,LX,2015,J200 рестайлинг (2012—2015),106894 км,7 записей в отчёте Автотеки,,3,Не битый,LX 570 5.7 4WD AT (367 л.с.),5.7 л,Бензин,Автомат,Полный,Luxury,Внедорожник 5-дверный,Чёрный,Левый,JTJH*************,,5 999 000
Lexus,LX,2023,J300 (2021—2023),1 км,Проверить в Автотеке,Электронный,1,Не битый,LX 500d 3.3 D AT (300 л.с.),3.5 л,Дизель,Автомат,Полный,Premium,Внедорожник 5-дверный,Чёрный,Левый,JTJP*************,,17 200 000
Lexus,LX,2016,J200 рестайлинг 2 (2015—2023),149800 км,6 записей в отчёте Автотеки,Оригинал,3,Не битый,LX 450d 4.5 4WD AT (272 л.с.),4.5 л,Дизель,Автомат,Полный,Executive 2,Внедорожник 5-дверный,Серый,Левый,JTJC*************,Не интересует,6 850 000
Lexus,RX,2023,V (2022—2023),41 км,,Электронный,1,Не битый,RX 350 2.4 4WD AT (249 л.с.),2.4 л,Бензин,Автомат,Полный,Luxury,Внедорожник 5-дверный,Чёрный,Левый,JTJC*************,Возможен,8 980 000
Lexus,RX,2007,II рестайлинг (2006—2009),179000 км,13 записей в отчёте Автотеки,Оригинал,4+,Не битый,RX 350 3.5 4WD AT (276 л.с.),3.5 л,Бензин,Автомат,Полный,Luxury,Внедорожник 5-дверный,Зелёный,Левый,JTJH*************,Не интересует,1 450 000
Lexus,GS,2012,IV (2011—2015),230000 км,15 записей в отчёте Автотеки,,4+,Не битый,GS 350 3.5 4WD AT (317 л.с.),3.5 л,Бензин,Автомат,Полный,F-Sport Luxury,Седан,Белый,Левый,JTHC*************,,2 580 000
Lexus,LX,2021,J200 рестайлинг 2 (2015—2023),23000 км,Проверить в Автотеке,Электронный,1,Не битый,LX 450d 4.5 4WD AT (272 л.с.),4.5 л,Дизель,Автомат,Полный,Executive 2,Внедорожник 5-дверный,Чёрный,Левый,JTJC*************,Не интересует,17 000 000
Lexus,RX,2023,V (2022—2023),25 км,Проверить в Автотеке,,1,Не битый,RX 350 2.4 4WD AT (279 л.с.),2.4 л,Бензин,Автомат,Полный,Luxury,Внедорожник 5-дверный,Чёрный,Левый,2T2B*************,,8 990 000
Lexus,LX,2019,J200 рестайлинг 2 (2015—2023),170000 км,16 записей в отчёте Автотеки,Оригинал,3,Не битый,LX 450d 4.5 4WD AT (272 л.с.),4.5 л,Дизель,Автомат,Полный,Executive,Внедорожник 5-дверный,Серый,Левый,JTJC*************,,8 950 000
Lexus,RX,2023,V (2022—2023),60 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,RX 350 2.4 4WD AT (279 л.с.),2.4 л,Бензин,Автомат,Полный,Executive,Внедорожник 5-дверный,Серый,Левый,2T2B*************,,11 500 000
