Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Changan,UNI-T,2023,I (2020—2023),50 км,,,1,Не битый,1.5T DCT (188 л.с.),1.5 л,Бензин,Робот,Передний,Базовая,Внедорожник 5-дверный,Серый,Левый,LS5A*************,Не интересует,2 830 000
Changan,UNI-K,2023,I (2020—2023),40 км,,,1,Не битый,2.0 4WD AT (226 л.с.),2 л,Бензин,Автомат,Полный,Premium,Внедорожник 5-дверный,Синий,Левый,LS4A*************,,3 470 000
Changan,CS35 Plus,2023,I рестайлинг (2021—2023),,,,,Не битый,1.4T DTC (150 л.с.),1.4 л,Бензин,Робот,Передний,Tech,Внедорожник 5-дверный,Серый,Левый,LS5A*************,,от 1 999 900
Changan,CS35 Plus,2023,I рестайлинг (2021—2023),6176 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,1.4T DTC (150 л.с.),1.4 л,Бензин,Робот,Передний,Tech,Внедорожник 5-дверный,Белый,Левый,LS5A*************,Возможен,2 590 000
Changan,CS35 Plus,2022,I (2018—2023),13693 км,Проверить в Автотеке,,1,Не битый,1.6 AT (128 л.с.),1.6 л,Бензин,Автомат,Передний,Luxe,Внедорожник 5-дверный,Серый,Левый,LS5A*************,,2 270 000
Changan,UNI-K,2023,I (2020—2023),1 км,,Электронный,1,Не битый,2.0 4WD AT (226 л.с.),2 л,Бензин,Автомат,Полный,Tech,Внедорожник 5-дверный,Серый,Левый,LS4A*************,Не интересует,3 550 000
Changan,CS75 Plus,2023,I рестайлинг (2021—2023),46 км,,,1,Не битый,1.5T AT (167 л.с.),1.5 л,Бензин,Автомат,Передний,Luxury,Внедорожник 5-дверный,Серый,Левый,LS4A*************,,2 720 000
Changan,CS35 Plus,2022,I (2018—2023),16000 км,3 записи в отчёте Автотеки,Электронный,2,Не битый,1.6 AT (128 л.с.),1.6 л,Бензин,Автомат,Передний,Luxe,Внедорожник 5-дверный,Белый,Левый,LS5A*************,Не интересует,2 120 000
Changan,Alsvin,2023,I (2018—2023),10 км,,,1,Не битый,1.5T DCT (98 л.с.),1.5 л,Бензин,Робот,Передний,DLX,Седан,Чёрный,Левый,LS5A*************,,1 799 900
Changan,UNI-K,2023,I (2020—2023),53 км,,Электронный,1,Не битый,2.0 4WD AT (226 л.с.),2 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Белый,Левый,LS4A*************,Возможен,3 850 000
